category,text
personal,I just wanted my reading week to be relaxing and fun. I didn't want to have to have a schedule
misc,I want to go back to kodiak
pop_culture,I want a relationship like Ron and Kim.
pop_culture,Drake has everyone liking bbw
meetup,Any girl wants to date tonight Male
school,Girls who study biology <3 F :$
personal,So because she wears makeup and is naturally gorgeous automatically makes her better. #uglyfriendproblems
personal,"Sometimes, I wonder why the internet + anonymity = douchebag. If you're offended by this, I'm looking at you. Grow up. You're not a ""nice guy,"" you're an asshole."
relationships,Having a boyfriend but wishing someone else would notice me because I'm getting bored cause we never do anything new.... doesnt mean i dont love him... complicated... uggg :'(
meetup,any girls actually want to meet up with me to have some fun message me ;)
personal,I really prefer dudes in their late 20s at the point in my life
meetup,Sexy pics girls send me
meetup,Any girls wanna talk I am lonely
personal,"I'm stuck between wanting a guy with a child because it's beautiful to watch him put her first, and wanting to be with a guy with no kids because I want to be put first."
family,Nothing makes me happier than when someone compliments me on how well behaved my children are!! #proudfather
misc,Looking goofy today and idgaf
personal,Im 21 and still a virgin girl And im not proud
personal,"I once designed something that killed a lot of people. I'll have to live with that for the rest of my life, but it's hard."
food,making banana bread. yum!
relationships,I once asked my BF if I was his cover up for his homosexuality I had to play it off like I was joking He got offended
misc,
personal,I cut.
personal,My biggest turn on is when a guy is smoking cigarettes.
personal,Always say hello Always tell people you love them Hug hard
qna,Does anyone regret losing their virginity? & why?
meetup,Any guys or girls wanna trade pics I'm m
meetup,Any guys wanna talk? 16f(:
misc,All alone in payette again. This sucks.
personal,My cousin just asked me if people look and me cause my thighs are big thanks a lot now Im crying and hate myself even more
personal,Valentines day makes me feel left out lol
food,When you eat fries before your burger but get full on your fries... 
personal,I hurt myself physically so that it will deaden the pain on the Inside.
qna,I want to be in a TV advert.. Is that difficult?
misc,Who's got that white girl?
personal,If you're going to be two faced sweetie at least make one of them pretty
misc,Mr. Manchester is frickin hot!! 
fashion,Just because I'm wearing a dress doesn't mean I want your looks and howl and whistles.
personal,No one to hang out with today. Oh well. =/ aiken is the most boring place to live.
relationships,I convinced my wife to have a threesome tonight. She doesn't know that I am asking for a divorce tomorrow..
misc,❤️❤️
meetup,Anyone want to hang out at the swap meet? Guy or girl doesn't matter just want to hang out.
misc,don't worry it's Friday
meetup,Gentleman Looking for Voice chat With Ladies
meetup,Free advice given. M 33 - all ages/genders welcome
misc,I need something to do tonight!
misc,Hey
personal,Why is my life so complicated?! I just can't seem to figure things out.
school,Yesterday was world book day. Today the teachers dressed up. One of the teachers dressed up as the mouse from Of Mice And Men which Lennie kills.. She's the sexiest thing i've seen in a while..!!
animals,I just got home from putting my dog down :(
personal,I get too attached to characters in books and tv shows.
meetup,Chat..16f?
relationships,Don't let the pain of your last relationship stop you from experience the joy that awaits you in the arms of someone new. Be bigger than your past.
misc,"Karin, the one i have been talking to for a while, where have you gone!"
personal,I use to cut and I still don't know why ....
pop_culture,So disappointed in Michael Mann. Blackhat was defecation on film. Just trash.
meetup,Add me on fb monique massie
relationships,I've waited 8 months but I finally kissed my crush yesterday. Never give up! 
school,I love being a senior in high school. Im passing everything and the only things I've learned has been from trivia crack.
personal,I'm obsessed with myself
misc,Nice girls finish last. Sorry about that ;)
misc,Don't grow up fast but don't be stupid. Make the memories; learn the lessons; and use your experiences to better yourself!
meetup,Anyone wanna talk about bands and stuff?
misc,Why love when u can sleep
meetup,Petite girls in sunderland?
meetup,Any sweet girl up here ..
lgbtq,Snapchat? 24.lesbian.Utah
misc,People tell me they like my username on here. Thanks!
meetup,Where's a good place to go for drinks and music (MEXICAN) here in Amarillo??
personal,"If you have ever wanted to punch a girl, do it when you're already in hand-cuffs"
meetup,17f..Anyone down to talk..i mean just talk
qna,"I love him. So much. I'm dying to tell him, but it's only been one month. Should I tell him?"
meetup,17 year old guy wanting give pics 
misc,Took perks for my removed wisdom tooth... But somehow I still feel some pain
relationships,There's some secrets I can't even trust my best friend with. She tells her boyfriend everything and he hates me.
school,No more midterms. Pens down. Papers in. Time to party. Spring break. ☀️
tatoos,Getting my third tattoo this evening. Can't wait!!!
personal,"We sit and talk, quietly, with long lapses of silence and i am aware of the stream that has no language, coursing beneath the quiet heaven of your eyes which has no speech"
meetup,Any guy or girl wanna rate me ? 18 F
personal,Every time I try something I fail
misc,Cocaine <3
personal,I want to bash my head against a wall.
personal,"If I didn't have a belly button, my body would be covered in lint"
work,I love most of the people I work with but I have just about everyone of the customers. Fuck you and your coffee!!!!
misc,Every like I get I'll do a sit up and every comment I'll do a pushup
misc,Just got $5000 shit it's a good year so far lmaoo
food,I don't eat junk food!
personal,"I hate that people tell teens to save their virginity... If you want to have sex, put on a damn condom, take a damn pill and have sex! It's nothing sacred... It's sex."
misc,Been so sore today but on the plus side I've upgraded our broadband to fibre optic xD
personal,I'm actually a very shy person
family,I'm taking my kids to Orlando to visit my sister; I'm not telling them Disney World is there!
misc,Movies
misc,.
misc,"Twinkle twinkle little star, I wanna hit you with my car Throw you off a cliff so high Hope you break your neck and die!"
personal,Sleeping alone sucks!
relationships,I love my girlfriend
misc,I go crazy for Indian guys with facial hair
personal,Aspire to inspire before you expire
meetup,Anyone fun looking to chat? 22\f\pa
misc,Thanks my neck n chest just started hurting again...... Maybe this time i will die
family,So... this is the second time my mom thought that england is a part of scandinavia. As a dane I find it a bit odd and scary.
pop_culture,I am groot
meetup,Any ladies want to chat? (; 18 white male here Send pic
pop_culture,Going to toby Keith's bar tonight any now anything about it?
meetup,.
meetup,"Looking for a lady to go out and have a drink,near hickory nc"
family,"Whenever I can't afford something for my baby, I talk my mother-in-law into buying it."
meetup,
qna,"Is it bad to want an humble, hard-working, loving type of guy who will give the shirt off his back and look good doing it?"
misc,Why do people have to be so negative with their replies on here sometimes
personal,"I want a massage, my back hurts"
personal,Simple sex is it even possible to find a friend to hangout with that also you have sex with
pop_culture,"xXx has always been my favorite movie, though I still love my disney classics."
personal,I hate those people who will believe anything they hear or see online. You are an individual. HAVE YOUR OWN INDIVIDUAL OPINIONS!!
pop_culture,When you go would have to say I don't love you like I loved you yesterday -My chemical romance
misc,Always nice seeing people who flat out stopped replying to you with no warning posting on here.
misc,Girls with big boobs
personal,Hate being a girl today
relationships,"I asked my x gf if she still thinks of me she said yes just not in that way. She was being honest, but it hurts. I never underestimated when people say ""The truth hurts"" cus it sure does :\"
misc,I hate rowing
personal,Being single is killing me 
personal,Trying to figure out why I let myself get close
misc,Why r my whispers getting deleted wtf
relationships,I told my gf that I probably wouldn't be a good bf but she still got mad when I started seeing another girl...
misc,Come on people there is more to life that sex! I'm sick to death of seeing it everywhere!!
meetup,17m need a girl's help bad! Please help
qna,U ever been ALONE? ?
meetup,Chated?
pop_culture,Why the fuck do they change all the good kids shows? How am I supposed to enjoy The Wiggles in secret when I'm distracted by the fact there's only one original member left?
meetup,"Someone message me, I'm bored."
meetup,Anyone want kik? 16m
personal,Found out I have PTSD today
relationships,When I asked my wife for a divorce I thought she was going to make it rough on me. I'm glad that she isn't. I'm glad our 9 years together isn't completely wasted and we can still be friends.
meetup,Anyone wanna chat
meetup,"Hey :) m, 15"
personal,I'm a guy and I've become tired of the one thing we men can't never seem to get enough of...SEX! I've had way too much of it to where I'm placing sexy women in the friend zones.
misc,I'm so bord TeX me
personal,My best friend and I can't wait until one of us gets married so we can have our bachelorette party.
misc,I love a man with a keg
family,I would rather be homeless than live with my mother.
meetup,any lesbian girls
personal,Wanting to be pregnant 
misc,Trying to do this rubiks cube I'm getting mad
misc,Ppl are always running there mourh
personal,I don't actually wanna talk to anyone on this app.
personal,"I really like my co-worker and she's like a perfect fit for me. However, she has a 2 year old daughter. I'm torn"
personal,Always being replaced by someone better 
misc,He's just so sweet 
meetup,Is there any sexy black men out there that love white girls
personal,so she may or may not come over tonight and I'm anxious.
personal,I dont belong
qna,Why do I have to be so alone?
relationships,When you love someone not even in love with them but you love them that feeling never goes away.
misc,I'm so over it
qna,Is it true that birth control helps regulate your period
personal,Sometimes I feel so alone it hurts
school,Accepting my role as school captain today!
meetup,Bored. Chat? Prefer girls. Bi 21 f.
pop_culture,"For a book that started as a badly written erotic twilight fanfic for lonely middle aged women with a cucumber and 3 tubs of vaseline, 50 shades of grey has done ridiculously well"
meetup,Play with me
personal,People are so rude!! I went to the grocery store to get ketchup and 2 different people had buggies full and wouldn't let me go first.. It wouldn't have killed them..
personal,I am scared to lose my virginity (17m)
personal,My ovaries explode whenever he likes my Instagram pictures
misc,When you see a 90 year old man slap his wife on her ass
meetup,"Anyone wanna chat? 18, F, NY Hmu:)"
pop_culture,Watching me some NCIS season 9
meetup,Any girls from Irvine on? :)
meetup,Someone should talk to me bc I'm bored 
meetup,Girls! Message me a number 1 to 27! Go!
relationships,Shared my bed with my crush of 6 years last night...all I could think about was how I want him there for the rest of my life....and also how I could help with his morning glory!
personal,Being skinny with an ass is the struggle. Smalls fit my waist but because of my ass they just fit therefore I need to get mediums so I'm sure they fit
misc,Someone take me on a proper date... someone show me people can care.
qna,"I don't get the whole friend zone situation, I can't find a single guy who's into me, yet people have some many extra to put in this zone?"
military,I love military men. Not because they wear a uniform but because they're heroes and risk their lives
personal,I play video games all day and watch movies. I have no purpose in life and I hate it.
school,I once got fingered in math class
sports,I want to try out to be a pro cheerleader in a couple months but my height is my only deterrence.
meetup,Talk to me. 
personal,Whoever just added me on snapchat and just sends me videos of you having sex I would like to block you.
family,I know i could touch the sky if I didn't have my family.
meetup,Any girls 17-22 what to have a chat with a guy?
personal,I'm normal on the outside but inside I'm a freak
personal,I get obsessed with working out whenever I see my love handles coming back..
misc,14f here
misc,"I'm not going to date a non sexual woman, nor will a date a chick that is nuttier than squirrel shit. No thanks"
misc,Natural glow lotion is my new best friend!
personal,"I pretend I'm happy and wear a smile for people, crack jokes but at the end of the day when I climb into bed alone, I cry. What's wrong with me? Why do I feel like this and feel so alone?"
meetup,I love you. Message me and ill let you know why? Ima guy. 19.
lgbtq,20f Lesbian trading pics message me ;)
fashion,"The only reason why girls wear yoga pants to show off their butt, then hind it by saying ""I wear them Because there comfortable"""
personal,I will never be good enough for any guy ..... Im not good for anyone
meetup,Trade pictures with a hot guy ladies Message me 18 +
animals,At night my cat stares at me while I'm sleeping I think my cat is possessed
school,"Assignments, I'm going to kick your posteriors!"
tatoos,My friend used to cut until she started making these awesome ass art designs on her body instead.
misc,The amount of filthy whispers on here is just TOO DAMN HIGH
meetup,Any guys up for a good chat btw 14y girl
family,Why are parents such jerks? I was in a good mood until you came home yelling for no apparent reason the house was clean and my siblings were still alive... What was the problem?
school,My face when is saturday in the night and i remeber that i have homework
personal,I want to date a boy who I can steal his flannels and share records :)
misc,I like flowers too.
misc,I am sucker for drama and romance movies
qna,What do u think of the new supergirl
meetup,Boyfriends ignoring me. Ugh I'm so bored. 17 f bbw
misc,Emo guys <3
personal,"I hate this ""waiting for his text"" deal. This is why we need solar powered cell phones!"
personal,Going to delete this tired of negativity. Want to talk to a fairly decent respectable guy ill be here but not for much longer
meetup,"Wish I had someone to talk too, don't care what about. I just want to talk."
meetup,Any cute girls on right now? I'm bored! 23 male Ohio
personal,I wish a boy my age would tell me I'm beautiful not pretty or hot but beautiful.
meetup,One week to find a cute valentine. 34 m.
personal,"In bed naked, best feeling ever. Well if someone was here then it would be perfect."
misc,I love Hotel California.
work,Teach me how to make some real money! Any ideas on how to build good steady side income!
meetup,In college park plus size beauty here for drinks smoke or dinner lol
misc,Glad too see this chick I haven't seen her in forever
meetup,I need to vent to someone about love and heartbreak
lgbtq,Just came out to my friends as bi. So glad I have such accepting friends. 17m
relationships,"I feel like what we had was just like the movies, a fairytale, but this one doesn't have a happy ending. She was, and still is my first true love."
misc,"Fuck, why do I always sweat when I do laundry"
misc,"Apparently my name (Lincoln) is good enough to be a street in most of America, but not on a freaking key chain..."
work,Crushing bad for my supervisor. O_o
lgbtq,"When someone claims they are pansexual, they remind me of the boys who claim they are 'nice guys'"
misc,Hardest decision ever.
fashion,"I'm cutting 30 cm off my hair tomorrow, can't wait"
relationships,This boy really doesn't understand how much he really means to me... I love him to the moon and back and more<3
misc,30 m teacher ;)
relationships,Hanging out with husband. Must be high. 
misc,My name is Mortty
lgbtq,Q&A with a lesbian anyone? Ask away.
relationships,I still have feelings for my first love even though it's been 5 years since I last seen him. I've dated a lot of guys since then but I never truly loved them. I feel like I lost my soulmate.
relationships,"I'm setting up my new life after leaving my abusive husband. Today I purchased a car, cash in hand, and it's all in my name. It's not much, but it's mine."
personal,Today is just a beautiful day that I will not let go to waste
personal,I swear he brings out the crazy side that I hate seeing.
meetup,Send me a pic and I'll rate!! Anyone male or female as long as your over 18 :) x
relationships,"Why do girls in their 20's have to always ""be alone"" or not want a relationship at a certain time? I gave her everything and she just wants to be alone right now. WHY?!"
personal,Single with issues :/
pop_culture,Excited for the walking dead!
misc,Curvy and fat are not the same thing.
personal,You can't be my friend if you lie to me.
meetup,Any single ladies wanna chat? 23/m
personal,I don't know how to be a decent human being
misc,Come on Bae. I'm really missing you.
school,"Roommate: ""dude you're poop smells like shit!"" Me: ""I don't know how you made it into college"""
relationships,"I've just spent the last few days talking to my crush, he was being really flirty with me. Then out the blue, he says he likes my best friend. Fuck."
meetup,I need a running buddy :/
personal,"In all honesty, I enjoy being single. Just as much as I like being in a relationship. It's weird, but im content either way! :)"
meetup,I would trying to have a long distance relationship with another girl to see how happy she could actually make me -22f
personal,Sometimes i wish I had a valintine
qna,Anyone else getting ready to work a part time then full time job tonight?
meetup,Hmu if you down to hang out tonight
qna,Anybody have a list of Justice League members they would bang?
personal,Wow! I didnt know working out angry could be so effective! Should do that more often lol
meetup,"46F here, looking for guys in their teens or 20s:)"
family,"Sometimes I really just want to masturbate, but my family is always around "
misc,Test whisper
meetup,anyone wanna chat?
meetup,Who's down for drinks tonight near Anoka or Minneapolis
food,I have an unhealthy obsession with eggs Benedict.
misc,i've been sleeping most of the day
personal,I like her but I cant tell her
meetup,Lakemoor new to town 19f looking for a hookah Sesh or something pm me If your down (:
school,My sisters' school bus driver pisses me off. She acts like she's a real person.
personal,My bisexual needs are beginning to grow and I find myself checking out more men!
personal,"We will be a weird generation of grandparents. When our younger generation gets old they will have the weirdest names, some of us will to."
misc,ROAD TRIP =)
personal,I can't wait for more weight to come off. So then maybe girls with take me seriously rather than scold me.
fashion,When tobogganing don't wear torn skinny jeans. Holy fuck my legs are cold
family,My dads uncle passed away eating
personal,"I need more beer. The more beer I have, the better options I get for future wives."
relationships,"First night my boyfriend is staying over, I'm 27, he's 42. We aren't virgins but I'm nervous as hell! "
personal,Finally over yσu
misc,Yes I correct grammatical mistakes. It's not to be a pretentious asshole. Grammar mistakes genuinely bother me.
personal,I dont know how to relax. I always have to be doing something
meetup,Any black females down to have fun with a biracial couple??
personal,I can't stand the sound of a baby crying. It literally drives me from a room.
relationships,"My gf is asleep on top of me right now, yet I'm on here looking someone to sext."
meetup,I just want a really sweet guy to text me. 19F
meetup,Lets have a random talk Female 17
misc,"The guy that sat in the front of the 6 bus with blond hair, UNF"
relationships,I only seem to attract perverts or really desperate men.
faith,I don't want to go to heaven none of my friends will be there.
work,Working in retail will destroy your soul a bit at a time
tatoos,Any girls with tats?
animals,Kittens are the best!
meetup,Would anyone like to play gta 5 on the ps4 with me?
meetup,Need new people to snapcjat or text 20 m Message me to apply
personal,"I crave physical affection, not even sex itself but just to feel someone's touch, to have someone to hold you at night; I need that again."
misc,Shoutout to my illuminati friends!
relationships,No matter what I will always love him
qna,If you could visit any where in the world where would you go.?
lgbtq,I found out the guy I had been crushing on is a girl . I still think she's cute
qna,Where can I get cute dabber tools??
meetup,I'm so bored any dude in the san Fernando valley want to hang out later Dx M19
meetup,"If you want a great, sexy guy, pm me a selfie and I'll hit you up"
qna,I need a guy's opinion on if this guy actually likes me 
personal,"I act really happy all day and I think I fool everyone at school, but every night I cry myself to sleep and I hate myself for being so weak."
qna,If someone else was paying for it What plastic surgery would you get?
personal,I need cuddles
personal,My first kiss was a girl (im a straight girl)
personal,Trial next week over a lost max ticket the first month I moved here and was on the max cause I couldn't find it in time.... The officer still has no notes BS I've long since mailed my pass in
meetup,Anyone interested?
food,Eating breakfast in 7 eleven.... Lets eat
personal,Bored at Mardi gras waiting for the next parade
misc,you guys broke up like a month ago lol change your profile picture
work,Just under 4 hours of work left. Can't wait to leave!!!
school,When you discover that someone of you school loves Kpop
family,"Is it weird I carry a picture of my mom in my wallet? I'm a 29 year old male, but I love my mom!"
lgbtq,I need a Lesbian bestie.. I want someone to check out girls with while my hubby is at work lol
misc,Tired of all this damn Ohio snow!!!!!!!!!
misc,"You're gonna experience alot of heartache in life. But you can't let it control your life. Focus on your blessings, not your problems. Anyday above ground is a good day"
misc,Working to get back in shape . 60 more days
qna,"Girls, do you like guys hairy or shaved? all parts..."
qna,"Guys, what do you expect us to to when you're driving and you honk at us? #TheFemaleWalkingOntheSidewalk"
school,I have a crush on one of my teachers and I don't know what to do 0-0
meetup,15 male cute GIRLS text me
lgbtq,Any bisexual people on here? Nothing sexual meant just new to being out and looking for friends.
personal,Life would be so much easier if I were gay lol.
lgbtq,I just want to meet a cute lesbian girl on here who i can get to know and date! (: no butch please
personal,I can't stop smoking
qna,Any rooms for rent?
misc,.
personal,I love building bonfires... I think they can be so romantic
family,My Dad Used To Abuse Me We Moved Away From Him A Long Time Ago
qna,Anyone else suffering from ibs ?
misc,
relationships,I really wish my wife would get hit my a bus already
personal,Sometimes I wish I could get so high that I could forget everything
misc,I really dont feel well rn and i still have to work tonight:(
work,Yawn work is boring
misc,Dragons
meetup,Anything else to do in Kerrville besides go to a bar?
meetup,Who wants to chat ? Male 19 london
personal,"I've been waiting 6 months for my forever crush's birthday, just so I have a reason to text him."
meetup,Brit gentleman Looking for Voice chat Females only
personal,I hate everyone
meetup,Any guys wanna talk? (16f)
misc,Got a robotic vacuum because I have a bad back
misc,Seems I am the only 27m virgin in OH
personal,"I hate when people consider themselves ""ugly"". Everybody is beautiful in there own way."
personal,Fuck this shit I need beer
relationships,Yes I have a boyfriend! Of course he loves me unconditionally .....He just doesn't know it yet.....
meetup,"Never been hurt so much, someone talk?"
personal,When will the lying stop? Everytime you lie to me it hurts b/c I want to be able to trust you
personal,I wish fireworks wren't just for special occasions. I'd like to see some fireworks on normal days just to make shit more festive
personal,"I wish I had people to hang out with besides in a sexual way. But I have to admit, it's my fault for not making actual friends."
misc,I like this girl named angelica but i think she's was out of my league
meetup,Who's gonna be my date on Valentine's and watch 50 shades with me? ✌️ Pic is me 
relationships,"We made it official today and when 3 hours passed he broke up with me, and asked to remain close friends. #Jerk!"
meetup,Anyone girls wanna talk? 18m
misc,I don't understand why girls have to call themselves gamer girls
fashion,"That moment of panic when you realize that your ""trim"" turned into 8 inches of your hair laying on the floor around you"
family,You're not truly an adult until your mommy or daddy stop paying for your phone bill
misc,"Come on, surprise me, sweep me off my feet. Oh, enlighten me, what is this special thing 'bout you I need."
qna,"Who do you think I am? Age, gender, anything"
personal,The only pop up ads I don't mind are the game of war ads for one simple reason. Boobs.
misc,I need some new ears...
meetup,Are there any adults on here? Smh
meetup,My back is in so much! I need a massage! Any woman want to help? I would be forever in your debt.
relationships,How do I make my guy fall in love with me again?
personal,Sometimes the things that you should be living for are better off without you.
misc,Unhappy
personal,Today was such a beautiful day. Too bad i spent in confined in my house with no one to talk to.
meetup,Anyone going to Bishops University open bar tonight ?
meetup,Play 21 questions with me? (Clean or gtf)
relationships,I've never had a real boyfriend Iv been with 2 guys but they pretended to like me
personal,If only I wasn't to poor to party tonight I need a good drink right now
meetup,Looking for female friends I'm married hmu
personal,I want a guy best friend
misc,My personality depends on the person am talking to
personal,These days you see me and you don't even hug me
meetup,Any older woman into younger guys?
relationships,"After living with my boyfriend for over 5 years, my family still thinks that he's just a phase"
misc,"Take my hand and take my whole life too, cuz I can't help falling back in love with you."
qna,What do goths like to buy under 39 bucks.
family,my moms cars battery just died and some random guy was nice enough to jumpstart it.
meetup,Any Guys 16-18 wanting to chat with a 16f?
qna,Guys! Do you prefer full lips over thin lips?
personal,I'm moist
misc,Happy Friday! Share your junk!! (Bi m)
personal,"Not gonna lie, I've ""practiced"" being a water bender in the shower. I'm 24"
military,Never look back✋
meetup,"Girls Talk To Me, I'm Male 20, Cute And Single.!"
qna,"Do guys really ""not have the will power"" to hang out with an engaged girl, or is that just an excuse?"
tatoos,I'm getting my first tattoo in less than a week!
meetup,I fucked up I need a girl to comfort me M18
meetup,"I'm soooo drunk right now, so one text me 15f haha"
qna,Do guys like girls with red lipstick or is it too much???
qna,Anyone know how to get a girl to like you I need tips
meetup,Someone give me a lift home at 3am will pay with anything Gloucester area
school,Way back in 4th grade I lied about giving a canned good so I could go to the Popsicle party . #noregrets
personal,I just want someone to make me feel like I'm not alone
lgbtq,"I told my husband that I was Pansexual, first he rejected me because he didn't understand but once he had a moment to cool down- he accepted me fully. My love grew for him even more."
misc,Meaty > skinny
misc,I have been growing this beard for months
pop_culture,I can't make plans on Fridays because Of Glee. That show is so much more important than my social life
personal,Life keeps getting harder...when it should be getting easier. So stressed. So very stressed. 30f
relationships,I'd sleep with you but I can't. I'm still friends with your ex
personal,I miss cutting myself but I know it's bad for me. :(
misc,Masterpiece
lgbtq,I'm nervous about dating again....I thought I was going to be with her forever...
qna,
personal,"My mom thinks I'm lazy, she doesn't know that I have to stop myself from breaking down at least 2 or 3 times a day"
meetup,Anyone want to chat?
personal,"Whenever a cute guy looks at me, I automatically think ""Oh shit-- no just stop looking at me, I probably look like a fucking troll right now."" :/"
lgbtq,"""Well actually, I'm bisexual"" - Every teenager, apparently."
personal,"I just miss you and I want you but we're only ""friends."" It's not only a guy that gets stuck in the friend zone."
relationships,"I just finished my divorce and found myself saying that I got rid of the ""golden albatross."" It was spontaneous but it says everything."
pop_culture,Started from the bottom now we're here 
misc,Kinda wanna get high and sleep 
relationships,Thinking about him again I thought I would see him this week but I was wrong I only got to see him twice and we couldn't talk :(
pop_culture,KENNY BLANKENSHIP'S AND VIC ROMANO'S MOST EXTREME ELIMINATION CHALLENGE!
misc,Valentine's Day can kiss my butt
relationships,"He's my best friend, but I don't love him anymore"
meetup,35/m I'm happily married and have 2 beautiful daughters! New to whisper. Just looking to meet new people!
fashion,Anyone with a messy pompadour hairstyle please help me find the right product!!
meetup,"Need someone to talk to 16, f"
misc,"My love is like a candle If you forget me, I'll burn your fucking house down"
misc,Basketball girls are so hot
qna,Girls: is a buzz cut intimidating or attractive?
misc,Oh man the 18th-26th super roadtrip 
personal,I feel like I'm loosing friends because of who I'm dating. Please help I feel so lost
faith,Reading The God Delusion. Truly eye opening on how I have been duped all this while
lgbtq,Lesbians 
personal,It makes me sad to think I will never have the wedding of my dreams. :(
pop_culture,I spent $200 on Star Wars books at four different Half Price Bookstores this weekend. Time/Money well spent .........
personal,Everybody is fighting a battle you know nothing about.
personal,"I told a customer at work today I liked her perfume. She immediately asked if it was too much! Then thanked me for speaking up, said it made her feel good. Sometimes it's the little things that count."
meetup,Any girls wanna trade? M 20
school,Haven't had a crush in years because there aren't any attractive guys at this school.
personal,When you get invited to a party then the ride doesn't show up....
lgbtq,My first love was a girl ~
meetup,Any guys that like horror movies? I'm female.
personal,What a worthless weekend so much for having good birthday weekend shoukd just call in to work and ask if i can drive tonight.
personal,"In town for a few days, I'm leaving on Monday to my duty station Been bored as hell so far"
food,I eat gummy vitamins bc I'm an adult
personal,I hate weekends in the winter season. #comeonsummer
qna,Any good films to watch old or new??
personal,Women can smell like Taco's too.
misc,Wish my roommates would shut the fuck up!
meetup,Anyone wanna chat? 22m
qna,Anyone ever been to Tyku in Killeen?
lgbtq,Lesbians hmu 22f
meetup,Someone wanna chat? Could use the company Everyone welcome 18 m
meetup,Who has an Instagram I'll Follow back 
misc,I can easily smash a 12 pack of lacroix by myself
school,I've been done with classes since Wed...why am I still here?
personal,This snow is driving me crazy! I haven't left my house since Tuesday. I need human contact.
personal,"My laptop recently crashed, and now I feel helpless since all my work projects I spent time coding are gone. Fml"
qna,Where is my own Sasha Grey? She's so hot!!!
qna,Why fall for someone when you know you can't have them ?.....
misc,Goodmorning
misc,Well arlington I will see yall next month. Killeen bound. Home here I come
meetup,Anyone feel like talking to a chubby guy? Im bored :/
meetup,Any females want to chat?
meetup,Need a new girl texting buddy. Reply to this or message me.:)21 male.
misc,Ina gamer girl. Love pewds. Love skateboarding.also collect Pokemon cards...... Don't judge meh -_-
animals,I didn't know I could play tag with my cat! It was the greatest thing ever! I haven't had that much fun in a while!
qna,What would someone have to do for you to let them look at all your whispers?
qna,Do u got a bae ... Or naw
meetup,Gunna go to blacks beach tommorrow :)
qna,Any women need an ego boost?
personal,Iv never had an orgasam
qna,Can someone help me financially? please
lgbtq,I'm a 23 year old male. I think I might be bi and Idk how to handle it. Advice??
food,I love donuts!
relationships,She's so gorgeous it hurts
meetup,It's free day at the zoo! Who wants to go with me? 21/F
personal,I like being anonymous and commenting on people's secrets.
meetup,#singleeeeeee Boys hmu 14-17:****
relationships,The two guys who have ever bought me flowers both have the same name! My ex bf and my current. It's weird
misc,Meow x3
misc,"Witches, all of them."
meetup,Any girls from London that live in Miami?
personal,Why did my fwb have to get a gf. I mean seriously I need him on rare occasions and I don't wanna put in the effort to find a new one.
personal,I just want a girl who loves to cuddle and who wants to be treated like a princess but it seems like there are no girls anymore. Any girls who want to prove me wrong? I'm 19 and I'll show you what I look like
meetup,Aren't there any hot guys on whisper in ky?
misc,"To the girls in the green Honda I passed on my blue gsxr, good game! Lol"
sports,Steven Gerrard is coming to America at the end of this season!!!!!!!!!!!
military,"I feel like such a loser, having to move back in with my parents as a 29 y/o veteran. I've been in a damn war."
family,"I love my kids, but I need alone time."
misc,I have more guy friends than girls and I love it... (F16)
misc,"Bitches, This Place Isn't To Hook Up. Desperate Much?"
relationships,"My boyfriends sister hates me. For no reason. fuck you too, bitch."
personal,I love women taller than myself :)
qna,I love to write. Anyone else?
personal,"I have an insanely bad temper, and I can't control of"
misc,"We'll sneak out while they sleep. And sail off in the night. We'll come clean and start over the rest of our lives. When we're gone we'll stay gone. Out of sight, out of mind. It's not too late."
personal,I hate when the past comes back and all the bad memories hit me again 
misc,I have no one to watch movies with
misc,I don't text or call 99% of the people in my phone contacts?
misc,dont judge lol the f**king irony you sad pathetic man
meetup,Looking for ladies in the area to chat with. This is my last night in London. 34/m
misc,Straight 
family,"I hate my sisters grandmother, fucking cunt, ruins my fucking life!"
qna,What's the craziest thing you've ever done?
misc,No one wants to hear the truth!! Regardless how it's said!!
misc,Hi c#:
misc,I work legs at the gym. Hard. ...and I'm a dude.
relationships,It's been 2 years since I broke up with my ex. I would do anything to get back with her :(
meetup,Does anyone in hawkinsville ga want to buy a cool fire 2 grenade vape mod. Message me for details
relationships,I'm so unsatisfied sexually in my relationship. Last time we had sex was over 2 months ago. I feel unwanted yet he's still totally in love with me
personal,I use the hanicapped stalls beacause i enjoy the privacy i fear the one day i use it and a disabled person is waiting on me
misc,The girl working at pei wei near ucf is unbelievably gorgeous.
misc,"Dear ""Nerds"" Everyone knows u have a candy named after u and so do the ""Cool Kids"" and it's called ""AIR HEADS""!!"
misc,I really wish more women were fun. Dumb bitchy women get on my nerves
meetup,22f LESBIAN exchanging boob pics with other LESBIANS
meetup,Cute boys hmu I'm bored lol. Nothing sexual tho
personal,I feel so alone and just lost the one person I thought understood
personal,I feel so weak I hate it soo bad someone help me please
relationships,"My boyfriend gave me a promise ring to say he'd get married to me. Now whenever I bring up talks on the future, he changes the subject. I've taken the ring off, my finger feels empty. (Mine in pic)"
misc,I can tell when a man only wants sex and I've learn to be a complete bitch about it.
pop_culture,Gnomeo & Juliet is one of my fav movies! I don't care if it's a kids movie and I'm 20M! I love it!
qna,How do you deal with the pain of losing the one you really love? I don't see the light at the end of the tunnel
